	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
156934	GUT_GENOME234508	SRS475984_81	HGM	MAG	2491093	138	33696	55.42	93.06	0.02		0.0	28.05	13.06	20		GUT_GENOME234508	MGYG-HGUT-03456	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Firm-07;s__	SRS475984	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03456/genomes1/GUT_GENOME234508.gff.gz
156973	GUT_GENOME234569	SRS475987_126	HGM	MAG	1983561	31	91278	48.68	94.32	0.0	0.18	94.96	0.0	99.86	20		GUT_GENOME234569	MGYG-HGUT-03457	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9732;s__UBA9732 sp001940825	SRS475987	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03457/genomes1/GUT_GENOME234569.gff.gz
156974	GUT_GENOME234570	SRS475987_127	HGM	MAG	2703450	151	32075	44.35	94.04	0.34		0.0	0.0	0.0	17		GUT_GENOME234570	MGYG-HGUT-03458	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__	SRS475987	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03458/genomes1/GUT_GENOME234570.gff.gz
156998	GUT_GENOME234608	SRS475987_88	HGM	MAG	1247950	53	46679	29.9	93.26	1.12		84.87	0.0	11.56	20		GUT_GENOME234608	MGYG-HGUT-03459	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA1242;g__;s__	SRS475987	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03459/genomes1/GUT_GENOME234608.gff.gz
157035	GUT_GENOME234656	SRS475990_12	HGM	MAG	2573579	262	15280	43.25	90.56	0.19	1.74	0.0	0.0	0.0	18		GUT_GENOME234656	MGYG-HGUT-03460	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__	SRS475990	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03460/genomes1/GUT_GENOME234656.gff.gz
157079	GUT_GENOME234729	SRS475994_45	HGM	MAG	2310521	568	5153	51.21	85.22	1.36	2.44	0.0	21.92	0.0	12		GUT_GENOME234729	MGYG-HGUT-03461	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SRS475994	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03461/genomes1/GUT_GENOME234729.gff.gz
157089	GUT_GENOME234747	SRS475997_28	HGM	MAG	2286053	50	103946	60.01	94.84	2.42		94.12	0.0	0.0	19		GUT_GENOME234747	MGYG-HGUT-03462	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SRS475997	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03462/genomes1/GUT_GENOME234747.gff.gz
157122	GUT_GENOME234802	SRS476001_51	HGM	MAG	2187524	132	22990	63.02	92.48	0.0		94.12	0.0	0.0	17		GUT_GENOME234802	MGYG-HGUT-03463	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__	SRS476001	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03463/genomes1/GUT_GENOME234802.gff.gz
157156	GUT_GENOME234840	SRS476014_103	HGM	MAG	1003444	9	858737	41.69	92.7	0.0		0.0	0.0	99.79	20		GUT_GENOME234840	MGYG-HGUT-03464	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA1242;g__UBA4626;s__	SRS476014	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03464/genomes1/GUT_GENOME234840.gff.gz
157189	GUT_GENOME234915	SRS476015_73	HGM	MAG	1993474	34	234984	48.46	92.17	0.0	0.13	0.0	99.67	99.79	20		GUT_GENOME234915	MGYG-HGUT-03465	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__	SRS476015	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03465/genomes1/GUT_GENOME234915.gff.gz
157338	GUT_GENOME235146	SRS476047_26	HGM	MAG	2580548	66	91070	31.4	97.2	0.0	0.0	95.8	31.64	0.0	20		GUT_GENOME235146	MGYG-HGUT-03466	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03466/genomes1/GUT_GENOME235146.gff.gz
157339	GUT_GENOME235147	SRS476047_32	HGM	MAG	1904394	542	4304	47.06	82.55	3.04		0.0	0.0	0.0	16		GUT_GENOME235147	MGYG-HGUT-03467	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03467/genomes1/GUT_GENOME235147.gff.gz
157340	GUT_GENOME235148	SRS476047_37	HGM	MAG	911428	109	11293	41.96	73.19	0.34	9.56	0.0	0.0	0.0	10		GUT_GENOME235148	MGYG-HGUT-03468	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__;g__;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03468/genomes1/GUT_GENOME235148.gff.gz
157341	GUT_GENOME235149	SRS476047_46	HGM	MAG	1886287	83	52460	51.36	94.57	4.09	1.87	93.28	0.0	0.0	17		GUT_GENOME235149	MGYG-HGUT-03469	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03469/genomes1/GUT_GENOME235149.gff.gz
157342	GUT_GENOME235150	SRS476047_63	HGM	MAG	2121809	580	4669	51.46	83.72	2.67		94.96	28.31	10.87	18		GUT_GENOME235150	MGYG-HGUT-03470	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03470/genomes1/GUT_GENOME235150.gff.gz
157343	GUT_GENOME235151	SRS476047_64	HGM	MAG	1204509	182	9445	38.08	83.32	1.51	5.45	94.96	0.0	0.0	15		GUT_GENOME235151	MGYG-HGUT-03471	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03471/genomes1/GUT_GENOME235151.gff.gz
157344	GUT_GENOME235152	SRS476047_79	HGM	MAG	2013664	105	60811	47.57	94.47	1.78	0.32	0.0	88.39	68.27	20		GUT_GENOME235152	MGYG-HGUT-03472	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03472/genomes1/GUT_GENOME235152.gff.gz
157345	GUT_GENOME235153	SRS476047_86	HGM	MAG	2233925	81	43277	41.4	90.45	1.01	2.63	0.0	0.0	0.0	16		GUT_GENOME235153	MGYG-HGUT-03473	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03473/genomes1/GUT_GENOME235153.gff.gz
157346	GUT_GENOME235154	SRS476047_87	HGM	MAG	1328498	525	2870	41.84	75.85	4.93		0.0	0.0	0.0	15		GUT_GENOME235154	MGYG-HGUT-03474	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__QALW01;g__;s__	SRS476047	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03474/genomes1/GUT_GENOME235154.gff.gz
157359	GUT_GENOME235173	SRS476050_50	HGM	MAG	2184431	32	147871	41.41	98.6	0.55		94.12	99.74	99.76	20		GUT_GENOME235173	MGYG-HGUT-03475	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__;s__	SRS476050	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03475/genomes1/GUT_GENOME235173.gff.gz
157381	GUT_GENOME235214	SRS476058_20	HGM	MAG	1713396	34	81097	41.85	97.27	0.0		0.0	0.0	0.0	20		GUT_GENOME235214	MGYG-HGUT-03476	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__	SRS476058	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03476/genomes1/GUT_GENOME235214.gff.gz
157400	GUT_GENOME235244	SRS476058_93	HGM	MAG	1890782	200	16839	56.19	96.81	0.0		94.96	0.0	13.91	15		GUT_GENOME235244	MGYG-HGUT-03477	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus timonensis	SRS476058	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03477/genomes1/GUT_GENOME235244.gff.gz
157430	GUT_GENOME235296	SRS476070_85	HGM	MAG	1461047	535	3111	53.0	69.34	0.22		0.0	0.0	11.69	10		GUT_GENOME235296	MGYG-HGUT-03478	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__	SRS476070	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03478/genomes1/GUT_GENOME235296.gff.gz
157470	GUT_GENOME235365	SRS476076_79	HGM	MAG	2365803	70	48165	54.9	93.24	0.47		0.0	0.0	0.0	18		GUT_GENOME235365	MGYG-HGUT-03479	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__	SRS476076	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03479/genomes1/GUT_GENOME235365.gff.gz
157571	GUT_GENOME235498	SRS476094_17	HGM	MAG	2592239	171	23904	48.45	85.96	4.88	1.19	95.8	0.0	15.21	17		GUT_GENOME235498	MGYG-HGUT-03480	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SRS476094	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03480/genomes1/GUT_GENOME235498.gff.gz
157603	GUT_GENOME235551	SRS476096_29	HGM	MAG	1646276	54	135065	26.69	71.57	0.0		0.0	0.0	25.26	19		GUT_GENOME235551	MGYG-HGUT-03481	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp003525075	SRS476096	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03481/genomes1/GUT_GENOME235551.gff.gz
157734	GUT_GENOME235747	SRS476103_73	HGM	MAG	2265437	35	179096	60.07	98.13	0.47		94.12	0.0	7.38	20		GUT_GENOME235747	MGYG-HGUT-03482	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_C;s__Selenomonas_C bovis	SRS476103	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03482/genomes1/GUT_GENOME235747.gff.gz
157825	GUT_GENOME235878	SRS476120_128	HGM	MAG	3685575	149	38739	66.91	91.89	0.71		0.0	99.67	0.0	20		GUT_GENOME235878	MGYG-HGUT-03483	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA3624;s__	SRS476120	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03483/genomes1/GUT_GENOME235878.gff.gz
157828	GUT_GENOME235884	SRS476120_140	HGM	MAG	2443711	118	46083	48.08	92.26	0.67		94.12	0.0	12.85	19		GUT_GENOME235884	MGYG-HGUT-03484	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__RUG806 sp900313475	SRS476120	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03484/genomes1/GUT_GENOME235884.gff.gz
157831	GUT_GENOME235888	SRS476120_20	HGM	MAG	1302571	127	15293	30.78	93.82	0.56		0.0	40.31	13.54	17		GUT_GENOME235888	MGYG-HGUT-03485	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA1242;g__;s__	SRS476120	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03485/genomes1/GUT_GENOME235888.gff.gz
157841	GUT_GENOME235903	SRS476120_63	HGM	MAG	2822689	73	123184	45.81	97.58	2.02	2.46	0.0	0.0	17.91	17		GUT_GENOME235903	MGYG-HGUT-03486	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000436115	SRS476120	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03486/genomes1/GUT_GENOME235903.gff.gz
157873	GUT_GENOME235948	SRS476121_76	HGM	MAG	2150642	182	16809	62.94	97.65	1.48		95.8	0.0	13.13	17		GUT_GENOME235948	MGYG-HGUT-03487	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_B;s__	SRS476121	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03487/genomes1/GUT_GENOME235948.gff.gz
157915	GUT_GENOME236014	SRS476128_58	HGM	MAG	2291044	36	141761	45.0	97.09	0.0		93.28	0.0	0.0	16		GUT_GENOME236014	MGYG-HGUT-03488	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__	SRS476128	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03488/genomes1/GUT_GENOME236014.gff.gz
158037	GUT_GENOME236194	SRS476147_37	HGM	MAG	2843857	338	12518	51.61	85.14	0.07	1.33	94.96	0.0	0.0	18		GUT_GENOME236194	MGYG-HGUT-03489	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__	SRS476147	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03489/genomes1/GUT_GENOME236194.gff.gz
158055	GUT_GENOME236224	SRS476152_11	HGM	MAG	2488924	1192	2270	64.88	62.64	2.09	2.63	0.0	0.0	0.0	10		GUT_GENOME236224	MGYG-HGUT-03490	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03490/genomes1/GUT_GENOME236224.gff.gz
158057	GUT_GENOME236226	SRS476152_14	HGM	MAG	2438052	232	13677	41.11	92.53	0.0	0.18	0.0	0.0	0.0	19		GUT_GENOME236226	MGYG-HGUT-03491	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__UBA2804;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03491/genomes1/GUT_GENOME236226.gff.gz
158059	GUT_GENOME236228	SRS476152_26	HGM	MAG	1782337	676	2934	45.01	68.1	2.74		0.0	8.22	0.0	17		GUT_GENOME236228	MGYG-HGUT-03492	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173_A;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03492/genomes1/GUT_GENOME236228.gff.gz
158060	GUT_GENOME236229	SRS476152_29	HGM	MAG	3028354	316	28021	43.94	83.77	3.05	1.92	94.96	0.0	33.95	18		GUT_GENOME236229	MGYG-HGUT-03493	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002299275	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03493/genomes1/GUT_GENOME236229.gff.gz
158061	GUT_GENOME236230	SRS476152_55	HGM	MAG	2318157	497	6045	47.64	86.42	4.36		0.0	22.96	0.0	9		GUT_GENOME236230	MGYG-HGUT-03494	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03494/genomes1/GUT_GENOME236230.gff.gz
158062	GUT_GENOME236231	SRS476152_62	HGM	MAG	2285322	508	6523	51.79	86.94	4.33	1.04	92.44	26.88	93.78	20		GUT_GENOME236231	MGYG-HGUT-03495	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03495/genomes1/GUT_GENOME236231.gff.gz
158063	GUT_GENOME236232	SRS476152_71	HGM	MAG	2237307	196	21072	46.39	90.94	0.0	3.92	91.6	56.62	5.61	15		GUT_GENOME236232	MGYG-HGUT-03496	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03496/genomes1/GUT_GENOME236232.gff.gz
158064	GUT_GENOME236233	SRS476152_75	HGM	MAG	1691378	211	9779	52.28	74.6	2.96		0.0	0.0	6.67	18		GUT_GENOME236233	MGYG-HGUT-03497	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03497/genomes1/GUT_GENOME236233.gff.gz
158066	GUT_GENOME236235	SRS476152_7	HGM	MAG	2015725	37	70423	43.09	81.7	0.47	0.1	0.0	0.0	16.34	17		GUT_GENOME236235	MGYG-HGUT-03498	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03498/genomes1/GUT_GENOME236235.gff.gz
158067	GUT_GENOME236236	SRS476152_82	HGM	MAG	1357146	754	1842	60.91	59.56	0.03		0.0	0.0	0.0	14		GUT_GENOME236236	MGYG-HGUT-03499	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-034/MGYG-HGUT-03499/genomes1/GUT_GENOME236236.gff.gz
158068	GUT_GENOME236237	SRS476152_8	HGM	MAG	2005892	38	83666	45.66	89.93	0.67	0.33	0.0	0.0	7.66	15		GUT_GENOME236237	MGYG-HGUT-03500	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-035/MGYG-HGUT-03500/genomes1/GUT_GENOME236237.gff.gz
158069	GUT_GENOME236238	SRS476152_95	HGM	MAG	2158154	288	9308	26.39	72.2	2.68		0.0	0.0	0.0	16		GUT_GENOME236238	MGYG-HGUT-03501	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-035/MGYG-HGUT-03501/genomes1/GUT_GENOME236238.gff.gz
158070	GUT_GENOME236239	SRS476152_97	HGM	MAG	2721654	171	27666	39.5	88.33	3.86	1.67	0.0	0.0	0.0	15		GUT_GENOME236239	MGYG-HGUT-03502	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SRS476152	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-035/MGYG-HGUT-03502/genomes1/GUT_GENOME236239.gff.gz
158114	GUT_GENOME236319	SRS476155_4	HGM	MAG	1644696	9	227959	42.76	92.74	1.61		0.0	31.9	61.2	19		GUT_GENOME236319	MGYG-HGUT-03503	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11475;s__UBA11475 sp003538975	SRS476155	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-035/MGYG-HGUT-03503/genomes1/GUT_GENOME236319.gff.gz
158119	GUT_GENOME236325	SRS476155_64	HGM	MAG	2246614	66	79307	48.81	93.15	0.03		0.0	0.0	90.02	20		GUT_GENOME236325	MGYG-HGUT-03504	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-314;g__CAG-1435;s__CAG-1435 sp003537755	SRS476155	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-035/MGYG-HGUT-03504/genomes1/GUT_GENOME236325.gff.gz
158174	GUT_GENOME236405	SRS476163_71	HGM	MAG	2316811	73	64958	50.27	81.97	0.29	0.93	0.0	0.0	0.0	19		GUT_GENOME236405	MGYG-HGUT-03505	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__CAG-977;s__	SRS476163	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-035/MGYG-HGUT-03505/genomes1/GUT_GENOME236405.gff.gz
